category,subject,day,start_period,end_period,start_time,end_time,room
전공,전공실기 2,화,7,8,15:00,17:00,운캠B-201b
전공,전공실기 2,화,7,8,15:00,17:00,운캠B-302
전공,전공실기 2,목,7,8,15:00,17:00,운캠P 802
전공,움직임과 표현 2,월,4,5,12:00,14:00,운캠P 805
전공,움직임과 표현 2,수,4,5,12:00,14:00,운캠P 802
전공,움직임과 표현 2,목,4,5,12:00,14:00,운캠B-302
전공,세계무용사,수,4,6,12:00,15:00,운캠B 423
전공,필라테스자세교정 2,월,7,8,15:00,17:00,운캠P 802
전공,무용즉흥실기,월,5,6,13:00,15:00,운캠B-201c
전공,요가테라피 2,화,4,5,12:00,14:00,운캠P 802
전공,요가테라피 2,수,4,5,12:00,14:00,운캠P 805
전공,요가테라피 2,목,4,5,12:00,14:00,운캠P 805
전공,전공실기 4,화,4,5,12:00,14:00,운캠B-201c
전공,전공실기 4,월,5,6,13:00,15:00,운캠B-302
전공,전공실기 4,목,7,8,15:00,17:00,운캠P 805
전공,무용워크샵트레이닝 2,목,4,6,12:00,15:00,운캠P 802
전공,창작무용,화,4,6,12:00,15:00,운캠B-201b
전공,무용 음악의 이해,목,7,8,15:00,17:00,운캠C 307
전공,전공실기 6,화,7,8,15:00,17:00,운캠B-201c
전공,전공실기 6,월,7,8,15:00,17:00,운캠B-302
전공,전공실기 6,목,7,8,15:00,17:00,운캠B-201b
전공,움직임 해부학,금,4,6,12:00,15:00,운캠P 802
전공,표현예술치료 2,화,7,9,15:00,18:00,운캠P 802
전공,예술철학의 이해,수,4,6,12:00,15:00,운캠B 424
전공,전공실기 8,수,4,5,12:00,14:00,운캠B-201c
전공,전공실기 8,월,2,3,10:00,12:00,운캠B-302
전공,전공실기 8,수,2,3,10:00,12:00,운캠P 805
전공,무용지도법 2,월,1,3,09:00,12:00,운캠B-201c
전공,무용지도법 2,수,7,9,15:00,18:00,운캠B-302
전공,무용지도법 2,수,7,8,15:00,17:00,운캠P 802
전공,무용지도법 2,수,8,9,16:00,18:00,운캠P 802
전공,한국정치론,월,7,9,15:00,18:00,성702
전공,국제정치의 이해,수,7,9,15:00,18:00,성704
전공,국제기구론,목,4,6,12:00,15:00,성601
전공,공공외교의 이해,화,4,6,12:00,15:00,성701
전공,과학기술과 정치,화,4,6,12:00,15:00,성713
전공,미국정치론,월,4,6,12:00,15:00,성311
전공,유럽정치론,수,4,6,12:00,15:00,성310
전공,영화로 보는 정치,화,7,9,15:00,18:00,성211
전공,외교정책론,화,7,9,15:00,18:00,수C-739
전공,정치와 종교,수,7,9,15:00,18:00,성701
전공,동남아국제관계론,화,4,6,12:00,15:00,수C-614
전공,국제관계이론,월,4,6,12:00,15:00,성301
전공,동아시아국제관계론,수,4,6,12:00,15:00,성301
전공,데이터 정치분석,목,4,6,12:00,15:00,수207
전공,영사외교 캡스톤디자인,목,7,9,15:00,18:00,성713
전공,현대정치의 쟁점,목,7,9,15:00,18:00,성706
전공,인간관계심리,화,4,6,12:00,15:00,성306
전공,인간관계심리,금,4,6,12:00,15:00,성305
전공,생물심리학,목,4,6,12:00,15:00,성303
전공,심리통계학,월,7,9,15:00,18:00,수222
